10, 4
15, 5
2, 13
7, 15
3, 1
10, 2
2, 12
10, 12
4, 7
12, 13
8, 13
15, 10
5, 15
14, 13
7, 8
8, 15
4, 3
14, 9
4, 12
12, 7
16, 4
11, 14
10, 9
6, 16
14, 5
12, 13
7, 6
6, 12
4, 14
10, 11
13, 12
15, 3
1, 11
1, 15
1, 9
7, 14
3, 10
3, 7
15, 14
10, 13
14, 16
5, 3
5, 1
7, 1
12, 5
1, 8
3, 12
2, 3
7, 3
2, 14
2, 12
16, 11
1, 11
10, 3
10, 3
14, 10
13, 1
15, 6
10, 6
10, 1
3, 11
10, 13
4, 16
8, 7
16, 5
7, 15
14, 13
15, 7
4, 16
8, 10
2, 16
10, 16
2, 14
2, 15
14, 13
7, 3
3, 7
14, 1
5, 16
11, 8
3, 8
9, 10
13, 4
12, 10
3, 15
4, 5
15, 13
5, 6
5, 16
5, 5
10, 15
6, 16
3, 3
5, 13
16, 4
1, 14
9, 4
16, 6
7, 10
14, 11
