42, 968
1335, 1501
1670, 725
1479, 1859
1963, 1965
706, 646
782, 1828
2462, 492
496, 1943
2328, 437
2392, 2105
1403, 154
293, 2383
2422, 1217
2219, 2396
448, 1727
2272, 1539
1870, 2413
668, 1300
2036, 2395
1204, 1312
1323, 334
174, 2165
142, 212
754, 1869
548, 145
163, 258
38, 360
1224, 2242
30, 779
2317, 536
2191, 1843
289, 107
1541, 1443
1765, 149
2447, 1306
891, 1730
1871, 351
7, 1102
1894, 1049
2130, 124
1585, 2455
1257, 1841
2467, 2377
1432, 1309
1945, 2440
2127, 1324
538, 1539
1119, 2083
430, 1542
2334, 1116
2140, 2159
205, 2431
1478, 2307
1674, 2387
22, 1246
1925, 1573
1271, 830
1778, 574
98, 1513
1487, 791
1662, 1137
2356, 2268
1156, 575
1532, 2053
2351, 1151
1942, 1725
1467, 931
1108, 192
508, 1338
458, 2288
254, 384
2446, 1410
2210, 2259
1722, 1089
1423, 2447
7, 531
1414, 1669
901, 92
1263, 1656
2411, 1360
125, 538
1549, 1484
96, 1542
1103, 1851
292, 837
1875, 1021
2097, 1522
2349, 700
2169, 1985
782, 2235
54, 2000
1419, 439
1901, 1289
628, 468
1229, 2394
2149, 2484
308, 2422
1811, 1618
314, 2015
