1,0.0,0.0,0.0
2,2.4,0.0,1.9
3,3.1,5.1,4.1
4,7.6,3.3,0.0
5,9.1,3.3,5.1
6,2.5,4.7,2.0
7,9.9,1.4,11.5
8,15.3,1.1,3.4
9,0.0,1.1,4.4
10,11.1,16.1,0.0
11,1.6,6.9,14.0
12,14.2,8.2,4.3
13,10.4,2.6,5.9
14,4.4,8.8,3.3
15,19.0,10.3,1.5
16,4.99,8.95,0.44
17,1.46,9.99,6.22
18,4.88,10.15,8.10
19,1.04,9.07,0
20,15.0,15.0,15.0
21,4.66,6.78,1.37
22,9.25,12.4,0.35
23,4.77,15.78,12.11
24,8.478,20.234,3.566
25,4.444,15.678,0.255
26,24.9225,20.464,18.8914
27,15.943,24.9223,1.6238
28,1.1717,1.4597,10.5729
29,8.9684,10.5286,18.1174
30,8.3657,12.8952,10.4228
31,11.0507,17.615,6.1008
32,17.8539,20.9455,6.0035
33,2.1497,3.8963,24.3716
34,13.3366,23.4332,3.2266
35,9.3482,18.727,11.7852
36,20.4838,8.7145,24.5637
37,6.6286,20.9855,19.3481
38,18.1741,20.3421,10.17
39,3.1852,20.7632,5.9437
40,19.8151,11.2342,2.8195
41,21.5789,2.5993,14.2881
42,7.8981,11.7041,14.1203
43,0.125,12.6717,8.0452
44,13.4906,1.5743,24.0563
45,13.8481,20.7035,13.8885
46,2.1983,22.4626,20.9021
47,24.3209,0.847,9.9869
48,8.4177,2.4057,1.9366
49,23.5312,21.7113,2.3838
50,6.697,20.019,24.834
51,0.7144,16.2817,10.0547
52,0.6823,24.4188,20.3369
53,6.4671,24.3228,15.3558
54,1.1714,5.6867,8.1631
55,17.5112,10.9504,23.1653
56,15.2441,15.885,4.7252
57,9.538,20.2847,6.7567
58,24.7884,2.2442,16.7719
59,24.7263,24.2994,8.5094
60,20.4559,4.127,15.7622
61,24.469,6.3406,2.7973
62,13.9461,11.9171,12.278
63,4.9434,24.9313,15.6523
64,13.7719,24.3649,4.4775
65,2.9797,19.3933,24.6901
66,10.1441,17.5471,14.6545
67,19.2737,24.092,10.9688
68,11.7405,23.377,6.256
69,5.7326,14.1078,20.6763
70,24.3145,6.271,24.4656
71,23.1897,17.8294,23.2651
72,17.0988,16.0945,17.5755
73,21.5085,2.3096,9.2315
74,19.2555,6.4251,12.7319
75,20.2314,9.3293,7.5969
76,13.3661,20.4558,24.0276
77,8.0589,10.8073,2.8577
78,14.9567,6.0049,19.103
79,1.1425,24.1835,11.0582
80,4.0645,17.9862,20.2831
81,19.1134,6.4372,19.182
82,24.8636,11.306,17.9241
83,15.3916,11.0785,3.0641
84,16.6431,7.8206,1.6499
85,7.6335,20.679,11.8827
86,14.5497,3.3221,3.3186
87,13.2948,10.6561,4.7656
88,21.1675,24.3024,9.0856
89,1.8488,22.8392,9.082
90,18.5593,12.9973,18.9885
91,18.7591,22.0449,17.9939
92,0.2752,3.6633,13.1242
93,24.7415,14.616,17.6378
94,11.8142,5.2746,24.4175
95,16.1542,12.9852,6.2817
96,14.0428,12.4342,17.3713
97,5.2151,2.7237,17.5452
98,16.9244,14.6226,23.4679
99,8.7318,12.7909,11.3946
100,22.0761,18.5823,0.9296
